Icon,Name,Description,SP,Obtain
,Perceptive,"If the unit initiates combat, grants Avo+15 during combat. Avo increases 
with high Spd. [+1 Avoid for every 4 Speed.]",250,Marth Bond Lv 1
,Perceptive+,"If the unit initiates combat, grants Avo+30 during combat. Avo increases 
with high Spd. [+1 Avoid for every 4 Speed.]",500,Marth Bond Lv 16
,Break Defenses,"If unit’s attack breaks foe, unit makes an extra attack at 50% damage.",2000,Marth Bond Lv 3
,Unyielding,"At start of player phase, if HP is 20% or less, restores 20% of unit’s max 
HP.",100,Marth Bond Lv 7
,Unyielding+,"At start of player phase, if HP is 30% or less, restores 30% of unit’s max 
HP.",200,Marth Bond Lv 12
,Unyielding++,"At start of player phase, if HP is 40% or less, restores 40% of unit’s max 
HP.",300,Marth Bond Lv 18
,Divine Speed,"Unit performs an extra attack at 50% damage in combat.
[Covert] If extra attack hits, poisons foe.
[Dragon] Unit recovers HP equal to damage dealt by extra attack.",—,Marth Bond Lv 1
,Lodestar Rush,"Use to launch 7 consecutive sword attacks at 30% damage. Adjacent foe only.
[Dragon] +2 attacks.
[Backup] +1 attack.
[Mystical] Damage based on Mag.",—,Marth Bond Lv 1
,Canter,Unit can move 2 spaces after acting.,1000,Sigurd Bond Lv 1
,Canter+,Unit can move 3 spaces after acting.,2000,Sigurd Bond Lv 13
,Momentum,"Grants Atk+1 to first attack during combat for each space unit moved before 
attacking. (Max +10)",1000,Sigurd Bond Lv 3
,Momentum+,"Grants Atk+1 to first attack during combat for each space unit moved before 
attacking.",2000,Sigurd Bond Lv 17
,Headlong Rush,Grants immunity to freeze.,200,Sigurd Bond Lv 7
,Gallop,"Grants Mov+5.
[Dragon] Grants another Mov+1.
[Cavalry] Grants another Mov+2.
[Covert] Unit does not pay extra movement cost on any terrain.",—,Sigurd Bond Lv 1
,Dark Gallop,Grants Mov+3.,—,Enemy
,Override,"Use to attack and move through a line of adjacent foes. Sword/lance only.
[Dragon] +20% damage.
[Armored] 10% chance of breaking target.
[Mystical] Deals extra damage=25% of Mag.
[Qi Adept] 20% chance of breaking target.",—,Sigurd Bond Lv 1
